Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,City,Device,Keyword,Country
CTA1302,Tableau Dashboard Course,369,8534,115.33,34,29,0.853,9193,26-12-2024,Dubai,Desktop,tableau dashboard course online course,UAE
CTA1303,Tableau Dashboard Course,232,9574,433.17,47,14,0.298,3528,16-03-2024,Adelaide,Tablet,tableau dashboard course online course,Australia
CTA1304,Tableau Dashboard Course,347,3275,480.64,5,5,1,1780,11-08-2024,Sydney,Mobile,tableau dashboard course online course,Australia
CTA1305,Tableau Dashboard Course,128,6410,410.19,48,28,0.583,12292,15-08-2024,Delhi,Tablet,tableau dashboard course online course,India
CTA1306,Tableau Dashboard Course,336,7615,204.23,50,39,0.78,12870,27-11-2024,Dubai,Mobile,tableau dashboard course online course,UAE
CTA1307,Tableau Dashboard Course,457,9828,236.36,26,15,0.577,4620,06-09-2024,Los Angeles,Desktop,tableau dashboard course online course,USA
CTA1308,Tableau Dashboard Course,479,2877,422.08,49,36,0.735,12672,13-08-2024,Bangalore,Desktop,tableau dashboard course online course,India
CTA1309,Tableau Dashboard Course,68,5440,388.97,5,2,0.4,578,17-08-2024,Dubai,Mobile,tableau dashboard course online course,UAE
CTA1310,Tableau Dashboard Course,200,8161,170.82,15,11,0.733,3641,15-03-2024,Chicago,Tablet,tableau dashboard course online course,USA
CTA1311,Tableau Dashboard Course,57,6239,164.82,21,4,0.19,1544,17-08-2024,Sydney,Desktop,tableau dashboard course online course,Australia
CTA1312,Tableau Dashboard Course,411,5538,414.01,26,16,0.615,4416,25-08-2024,Melbourne,Mobile,tableau dashboard course online course,Australia
CTA1313,Tableau Dashboard Course,370,9169,364.94,28,22,0.786,7524,25-11-2024,London,Tablet,tableau dashboard course online course,UK
CTA1314,Tableau Dashboard Course,260,7877,121.94,22,18,0.818,3438,28-04-2024,Perth,Mobile,tableau dashboard course online course,Australia
CTA1315,Tableau Dashboard Course,478,5338,289.98,14,12,0.857,5568,03-12-2024,Leeds,Desktop,tableau dashboard course online course,UK
CTA1316,Tableau Dashboard Course,63,5619,226.07,18,4,0.222,1340,20-04-2024,Dubai,Desktop,tableau dashboard course online course,UAE
CTA1317,Tableau Dashboard Course,151,8524,389.4,14,8,0.571,3952,11-12-2024,Birmingham,Mobile,tableau dashboard course online course,UK
CTA1318,Tableau Dashboard Course,203,8660,332.95,41,7,0.171,1001,07-08-2024,Bangalore,Mobile,tableau dashboard course online course,India
CTA1319,Tableau Dashboard Course,100,2546,339.6,29,16,0.552,7856,20-08-2024,London,Tablet,tableau dashboard course online course,UK
CTA1320,Tableau Dashboard Course,241,6034,434.08,10,7,0.7,3437,03-06-2024,Edinburgh,Tablet,tableau dashboard course online course,UK
CTA1321,Tableau Dashboard Course,76,6875,239.11,17,2,0.118,948,06-12-2024,Los Angeles,Tablet,tableau dashboard course online course,USA
CTA1322,Tableau Dashboard Course,355,8350,107.55,15,1,0.067,441,19-09-2024,Hyderabad,Mobile,tableau dashboard course online course,India
CTA1323,Tableau Dashboard Course,62,6744,338.11,18,7,0.389,2940,15-01-2024,Manchester,Tablet,tableau dashboard course online course,UK
CTA1324,Tableau Dashboard Course,286,8243,160.06,41,33,0.805,15840,25-11-2024,Mumbai,Tablet,tableau dashboard course online course,India
CTA1325,Tableau Dashboard Course,134,6910,421.23,16,1,0.062,140,17-06-2024,Pune,Tablet,tableau dashboard course online course,India
CTA1326,Tableau Dashboard Course,239,1716,389.12,27,14,0.519,5964,03-10-2024,Adelaide,Mobile,tableau dashboard course online course,Australia
CTA1327,Tableau Dashboard Course,289,7611,187.03,46,28,0.609,3556,10-05-2024,Melbourne,Mobile,tableau dashboard course online course,Australia
CTA1328,Tableau Dashboard Course,307,8538,264.6,33,30,0.909,13590,20-05-2024,Los Angeles,Tablet,tableau dashboard course online course,USA
CTA1329,Tableau Dashboard Course,352,7499,162.04,12,12,1,2124,08-04-2024,San Francisco,Desktop,tableau dashboard course online course,USA
CTA1330,Tableau Dashboard Course,434,9840,440.47,35,29,0.829,3219,28-06-2024,Adelaide,Tablet,tableau dashboard course online course,Australia
CTA1331,Tableau Dashboard Course,278,1415,269.36,19,13,0.684,4745,23-09-2024,Ottawa,Desktop,tableau dashboard course online course,Canada
CTA1332,Tableau Dashboard Course,424,4746,143.33,40,37,0.925,7215,19-06-2024,Chicago,Tablet,tableau dashboard course online course,USA
CTA1333,Tableau Dashboard Course,459,9438,296.95,43,37,0.86,4329,08-10-2024,Bangalore,Tablet,tableau dashboard course online course,India
CTA1334,Tableau Dashboard Course,94,2764,406.33,10,7,0.7,3010,07-05-2024,Manchester,Tablet,tableau dashboard course online course,UK
CTA1335,Tableau Dashboard Course,383,2343,206.06,49,35,0.714,12915,21-12-2024,Leeds,Tablet,tableau dashboard course online course,UK
CTA1336,Tableau Dashboard Course,62,5187,298.82,38,13,0.342,4511,04-12-2024,Perth,Mobile,tableau dashboard course online course,Australia
CTA1337,Tableau Dashboard Course,217,1454,272.23,14,10,0.714,1250,20-10-2024,Vancouver,Mobile,tableau dashboard course online course,Canada
CTA1338,Tableau Dashboard Course,474,2190,403.8,27,27,1,9369,12-03-2024,Sharjah,Desktop,tableau dashboard course online course,UAE
CTA1339,Tableau Dashboard Course,238,6796,387.85,46,11,0.239,4653,14-06-2024,Bangalore,Mobile,tableau dashboard course online course,India
CTA1340,Tableau Dashboard Course,476,7722,472.35,28,28,1,4480,05-08-2024,Sydney,Tablet,tableau dashboard course online course,Australia
CTA1341,Tableau Dashboard Course,335,2395,221.3,8,5,0.625,1555,13-11-2024,Brisbane,Mobile,tableau dashboard course online course,Australia
CTA1342,Tableau Dashboard Course,436,4222,219.57,33,32,0.97,9696,02-04-2024,San Francisco,Desktop,tableau dashboard course online course,USA
CTA1343,Tableau Dashboard Course,253,6568,237.8,39,23,0.59,8349,03-01-2024,Adelaide,Tablet,tableau dashboard course online course,Australia
CTA1344,Tableau Dashboard Course,168,2580,123.93,44,43,0.977,6622,13-10-2024,Boston,Desktop,tableau dashboard course online course,USA
CTA1345,Tableau Dashboard Course,206,9063,233.08,5,1,0.2,387,20-09-2024,Abu Dhabi,Desktop,tableau dashboard course online course,UAE
CTA1346,Tableau Dashboard Course,358,8496,177.85,8,7,0.875,2604,23-04-2024,Dubai,Desktop,tableau dashboard course online course,UAE
CTA1347,Tableau Dashboard Course,193,2804,181.16,10,9,0.9,3789,16-04-2024,New York,Desktop,tableau dashboard course online course,USA
CTA1348,Tableau Dashboard Course,135,5818,494.41,17,9,0.529,4068,06-12-2024,Birmingham,Mobile,tableau dashboard course online course,UK
CTA1349,Tableau Dashboard Course,50,2178,218.59,29,19,0.655,4275,14-02-2024,Leeds,Desktop,tableau dashboard course online course,UK
CTA1350,Tableau Dashboard Course,498,4701,319.76,22,9,0.409,3564,18-09-2024,Delhi,Desktop,tableau dashboard course online course,India
CTA1351,Tableau Dashboard Course,250,6255,253.58,44,18,0.409,8298,18-02-2024,Bangalore,Tablet,tableau dashboard course online course,India
CTA1352,Tableau Dashboard Course,491,6231,115.24,40,18,0.45,1800,20-09-2024,Melbourne,Tablet,tableau dashboard course online course,Australia
CTA1353,Tableau Dashboard Course,202,9138,444.86,19,16,0.842,2992,19-05-2024,Toronto,Mobile,tableau dashboard course online course,Canada
CTA1354,Tableau Dashboard Course,164,1401,442.07,44,30,0.682,9090,13-04-2024,Calgary,Tablet,tableau dashboard course online course,Canada
CTA1355,Tableau Dashboard Course,305,3255,466.6,10,1,0.1,443,18-02-2024,Boston,Desktop,tableau dashboard course online course,USA
CTA1356,Tableau Dashboard Course,235,3021,270.05,20,8,0.4,2256,13-05-2024,Manchester,Tablet,tableau dashboard course online course,UK
CTA1357,Tableau Dashboard Course,91,3592,475.29,14,5,0.357,2130,26-03-2024,Adelaide,Mobile,tableau dashboard course online course,Australia
CTA1358,Tableau Dashboard Course,129,4032,351.32,19,6,0.316,2232,13-02-2024,San Francisco,Mobile,tableau dashboard course online course,USA
CTA1359,Tableau Dashboard Course,137,9238,117.36,8,8,1,2896,25-12-2024,Bangalore,Tablet,tableau dashboard course online course,India
CTA1360,Tableau Dashboard Course,376,4290,253.24,41,6,0.146,2898,11-11-2024,Abu Dhabi,Tablet,tableau dashboard course online course,UAE
CTA1361,Tableau Dashboard Course,147,3044,335.13,31,1,0.032,261,17-04-2024,Vancouver,Mobile,tableau dashboard course online course,Canada
CTA1362,Tableau Dashboard Course,348,5634,269.9,11,8,0.727,1496,25-10-2024,Edinburgh,Tablet,tableau dashboard course online course,UK
CTA1363,Tableau Dashboard Course,442,2808,236.73,30,5,0.167,1615,05-06-2024,Montreal,Mobile,tableau dashboard course online course,Canada
CTA1364,Tableau Dashboard Course,58,1259,313.67,9,5,0.556,1865,08-02-2024,Dubai,Mobile,tableau dashboard course online course,UAE
CTA1365,Tableau Dashboard Course,216,6531,296.31,24,19,0.792,6555,22-06-2024,Birmingham,Desktop,tableau dashboard course online course,UK
CTA1366,Tableau Dashboard Course,187,2132,314.81,39,3,0.077,639,01-04-2024,Delhi,Mobile,tableau dashboard course online course,India
CTA1367,Tableau Dashboard Course,380,1941,415.85,39,24,0.615,7056,01-10-2024,Perth,Desktop,tableau dashboard course online course,Australia
CTA1368,Tableau Dashboard Course,161,8777,303.72,33,22,0.667,8294,09-03-2024,Manchester,Mobile,tableau dashboard course online course,UK
CTA1369,Tableau Dashboard Course,189,8935,238.46,50,11,0.22,3619,15-10-2024,Abu Dhabi,Tablet,tableau dashboard course online course,UAE
CTA1370,Tableau Dashboard Course,435,9330,491.35,36,21,0.583,8631,21-02-2024,San Francisco,Tablet,tableau dashboard course online course,USA
CTA1371,Tableau Dashboard Course,315,8788,273.83,11,5,0.455,840,05-04-2024,Mumbai,Mobile,tableau dashboard course online course,India
CTA1372,Tableau Dashboard Course,339,8946,332.56,17,7,0.412,2184,12-06-2024,Edinburgh,Mobile,tableau dashboard course online course,UK
CTA1373,Tableau Dashboard Course,243,2140,434.22,30,19,0.633,9120,17-02-2024,San Francisco,Tablet,tableau dashboard course online course,USA
CTA1374,Tableau Dashboard Course,497,3102,185.93,45,3,0.067,483,26-10-2024,Melbourne,Desktop,tableau dashboard course online course,Australia
CTA1375,Tableau Dashboard Course,429,3468,344.44,29,15,0.517,1635,02-10-2024,Los Angeles,Mobile,tableau dashboard course online course,USA
CTA1376,Tableau Dashboard Course,95,4141,388.6,38,24,0.632,3768,20-06-2024,Calgary,Tablet,tableau dashboard course online course,Canada
CTA1377,Tableau Dashboard Course,329,9552,488.23,24,1,0.042,474,06-07-2024,Sharjah,Mobile,tableau dashboard course online course,UAE
CTA1378,Tableau Dashboard Course,268,2859,322.2,22,17,0.773,2788,24-04-2024,Dubai,Mobile,tableau dashboard course online course,UAE
CTA1379,Tableau Dashboard Course,349,1146,478.13,36,6,0.167,2538,14-12-2024,Sharjah,Desktop,tableau dashboard course online course,UAE
CTA1380,Tableau Dashboard Course,104,8541,255.52,24,17,0.708,7004,24-10-2024,San Francisco,Tablet,tableau dashboard course online course,USA
CTA1381,Tableau Dashboard Course,432,4761,188.53,23,15,0.652,4125,23-04-2024,Montreal,Tablet,tableau dashboard course online course,Canada
CTA1382,Tableau Dashboard Course,65,9944,248.3,9,1,0.111,290,21-02-2024,Manchester,Desktop,tableau dashboard course online course,UK
CTA1383,Tableau Dashboard Course,212,5959,486.28,49,5,0.102,820,22-01-2024,Chennai,Tablet,tableau dashboard course online course,India
CTA1384,Tableau Dashboard Course,495,9636,129.75,29,6,0.207,2340,16-02-2024,Birmingham,Desktop,tableau dashboard course online course,UK
CTA1385,Tableau Dashboard Course,407,4033,389.63,37,21,0.568,8694,15-11-2024,Melbourne,Tablet,tableau dashboard course online course,Australia
CTA1386,Tableau Dashboard Course,89,4277,122.01,44,25,0.568,12275,25-02-2024,Chicago,Tablet,tableau dashboard course online course,USA
CTA1387,Tableau Dashboard Course,229,4953,375.65,39,14,0.359,5222,26-09-2024,Pune,Mobile,tableau dashboard course online course,India
CTA1388,Tableau Dashboard Course,499,6782,171.78,46,44,0.957,18920,23-02-2024,London,Mobile,tableau dashboard course online course,UK
CTA1389,Tableau Dashboard Course,438,2539,338.31,12,1,0.083,132,14-02-2024,Sydney,Mobile,tableau dashboard course online course,Australia
CTA1390,Tableau Dashboard Course,218,3132,126.85,14,1,0.071,203,20-07-2024,Montreal,Desktop,tableau dashboard course online course,Canada
CTA1391,Tableau Dashboard Course,492,6426,431.24,14,14,1,2478,23-10-2024,Dubai,Tablet,tableau dashboard course online course,UAE
CTA1392,Tableau Dashboard Course,423,5622,318.3,26,4,0.154,1624,04-10-2024,Toronto,Mobile,tableau dashboard course online course,Canada
CTA1393,Tableau Dashboard Course,272,9143,143.87,32,18,0.562,6606,20-06-2024,Edinburgh,Tablet,tableau dashboard course online course,UK
CTA1394,Tableau Dashboard Course,215,4812,235.7,11,10,0.909,1800,22-04-2024,San Francisco,Tablet,tableau dashboard course online course,USA
CTA1395,Tableau Dashboard Course,282,1934,436.48,15,15,1,2370,09-09-2024,Dubai,Mobile,tableau dashboard course online course,UAE
CTA1396,Tableau Dashboard Course,342,3188,417.01,5,2,0.4,784,21-12-2024,London,Desktop,tableau dashboard course online course,UK
CTA1397,Tableau Dashboard Course,315,4192,244.05,33,27,0.818,6831,03-01-2024,Toronto,Tablet,tableau dashboard course online course,Canada
CTA1398,Tableau Dashboard Course,296,1454,404.7,37,16,0.432,6640,10-05-2024,Abu Dhabi,Desktop,tableau dashboard course online course,UAE
CTA1399,Tableau Dashboard Course,330,4077,125.69,14,1,0.071,330,14-08-2024,Dubai,Mobile,tableau dashboard course online course,UAE
CPO1000,Power BI Dashboard Course,295,1993,233.15,8,2,0.25,346,10-04-2024,Calgary,Mobile,power bi dashboard course online course,Canada
CPO1001,Power BI Dashboard Course,449,6218,465,18,5,0.278,1055,28-06-2024,Delhi,Mobile,power bi dashboard course online course,India
CPO1002,Power BI Dashboard Course,317,4061,307.37,27,1,0.037,322,21-11-2024,Dubai,Desktop,power bi dashboard course online course,UAE
CPO1003,Power BI Dashboard Course,159,6085,105.19,6,6,1,1662,16-05-2024,Edinburgh,Desktop,power bi dashboard course online course,UK
CPO1004,Power BI Dashboard Course,428,4579,162.68,48,42,0.875,16548,03-11-2024,Montreal,Desktop,power bi dashboard course online course,Canada
CPO1005,Power BI Dashboard Course,121,9175,165.62,35,33,0.943,15774,24-04-2024,Mumbai,Tablet,power bi dashboard course online course,India
CPO1006,Power BI Dashboard Course,403,8007,331.93,23,3,0.13,1458,08-11-2024,Manchester,Tablet,power bi dashboard course online course,UK
CPO1007,Power BI Dashboard Course,92,7318,263.3,16,6,0.375,1302,01-08-2024,Dubai,Tablet,power bi dashboard course online course,UAE
CPO1008,Power BI Dashboard Course,272,5221,396,11,4,0.364,1580,19-11-2024,Sharjah,Desktop,power bi dashboard course online course,UAE
CPO1009,Power BI Dashboard Course,118,1250,102.77,46,29,0.63,6554,07-11-2024,Vancouver,Desktop,power bi dashboard course online course,Canada
CPO1010,Power BI Dashboard Course,82,3856,120.32,24,9,0.375,1809,26-01-2024,New York,Desktop,power bi dashboard course online course,USA
CPO1011,Power BI Dashboard Course,392,9960,270.93,26,7,0.269,721,06-07-2024,Toronto,Desktop,power bi dashboard course online course,Canada
CPO1012,Power BI Dashboard Course,313,5850,446.78,50,9,0.18,2646,09-01-2024,Mumbai,Tablet,power bi dashboard course online course,India
CPO1013,Power BI Dashboard Course,87,1538,252.2,20,18,0.9,2502,26-04-2024,Calgary,Tablet,power bi dashboard course online course,Canada
CPO1014,Power BI Dashboard Course,377,6233,192.85,33,33,1,10263,24-12-2024,Delhi,Mobile,power bi dashboard course online course,India
CPO1015,Power BI Dashboard Course,77,6556,320.78,33,33,1,5214,07-05-2024,Dubai,Mobile,power bi dashboard course online course,UAE
CPO1016,Power BI Dashboard Course,145,2721,353.64,12,10,0.833,2920,18-08-2024,Abu Dhabi,Desktop,power bi dashboard course online course,UAE
CPO1017,Power BI Dashboard Course,193,7865,423.96,20,9,0.45,3888,26-01-2024,Calgary,Desktop,power bi dashboard course online course,Canada
CPO1018,Power BI Dashboard Course,283,1296,315.43,46,23,0.5,4761,06-10-2024,Abu Dhabi,Tablet,power bi dashboard course online course,UAE
CPO1019,Power BI Dashboard Course,137,3542,398.39,7,4,0.571,524,04-07-2024,Vancouver,Mobile,power bi dashboard course online course,Canada
CPO1020,Power BI Dashboard Course,335,5447,428.61,39,2,0.051,384,17-04-2024,Chicago,Mobile,power bi dashboard course online course,USA
CPO1021,Power BI Dashboard Course,83,6862,369.31,35,28,0.8,12824,01-12-2024,New York,Tablet,power bi dashboard course online course,USA
CPO1022,Power BI Dashboard Course,103,7903,158.01,29,15,0.517,5055,22-08-2024,Perth,Tablet,power bi dashboard course online course,Australia
CPO1023,Power BI Dashboard Course,372,9320,458.91,11,8,0.727,3672,27-03-2024,Bangalore,Tablet,power bi dashboard course online course,India
CPO1024,Power BI Dashboard Course,283,7728,464.22,5,5,1,1465,10-07-2024,Sharjah,Tablet,power bi dashboard course online course,UAE
CPO1025,Power BI Dashboard Course,297,3565,263.66,50,5,0.1,2070,21-10-2024,Hyderabad,Tablet,power bi dashboard course online course,India
CPO1026,Power BI Dashboard Course,453,4061,486.85,37,34,0.919,9860,05-07-2024,Manchester,Desktop,power bi dashboard course online course,UK
CPO1027,Power BI Dashboard Course,89,4058,272.65,21,3,0.143,510,02-09-2024,Dubai,Mobile,power bi dashboard course online course,UAE
CPO1028,Power BI Dashboard Course,442,6676,146.89,38,27,0.711,8856,21-05-2024,Boston,Desktop,power bi dashboard course online course,USA
CPO1029,Power BI Dashboard Course,92,7601,368.09,16,6,0.375,2886,26-01-2024,Adelaide,Tablet,power bi dashboard course online course,Australia
CPO1030,Power BI Dashboard Course,449,5074,154.35,44,41,0.932,11931,16-03-2024,Adelaide,Desktop,power bi dashboard course online course,Australia
CPO1031,Power BI Dashboard Course,98,4290,348.73,12,10,0.833,4410,05-09-2024,Perth,Tablet,power bi dashboard course online course,Australia
CPO1032,Power BI Dashboard Course,479,2576,355.15,8,2,0.25,584,26-11-2024,Los Angeles,Tablet,power bi dashboard course online course,USA
CPO1033,Power BI Dashboard Course,135,5539,418.19,43,42,0.977,19194,05-04-2024,Boston,Desktop,power bi dashboard course online course,USA
CPO1034,Power BI Dashboard Course,457,6386,377.56,49,45,0.918,16110,27-07-2024,Dubai,Tablet,power bi dashboard course online course,UAE
CPO1035,Power BI Dashboard Course,244,8750,285.37,50,1,0.02,307,05-10-2024,Los Angeles,Tablet,power bi dashboard course online course,USA
CPO1036,Power BI Dashboard Course,470,1275,278.53,45,16,0.356,3216,05-09-2024,San Francisco,Desktop,power bi dashboard course online course,USA
CPO1037,Power BI Dashboard Course,299,3058,317.82,32,32,1,3936,25-06-2024,Los Angeles,Mobile,power bi dashboard course online course,USA
CPO1038,Power BI Dashboard Course,83,1284,322.65,30,15,0.5,5640,12-08-2024,Vancouver,Mobile,power bi dashboard course online course,Canada
CPO1039,Power BI Dashboard Course,381,2064,126.23,26,5,0.192,990,22-01-2024,Chicago,Tablet,power bi dashboard course online course,USA
CPO1040,Power BI Dashboard Course,69,9751,357.4,8,4,0.5,832,07-10-2024,Bangalore,Tablet,power bi dashboard course online course,India
CPO1041,Power BI Dashboard Course,296,9002,449.33,39,32,0.821,14048,21-03-2024,Vancouver,Desktop,power bi dashboard course online course,Canada
CPO1042,Power BI Dashboard Course,307,3497,212.84,29,16,0.552,3136,18-07-2024,Hyderabad,Tablet,power bi dashboard course online course,India
CPO1043,Power BI Dashboard Course,267,5214,135.03,21,10,0.476,1580,16-04-2024,New York,Tablet,power bi dashboard course online course,USA
CPO1044,Power BI Dashboard Course,474,5369,489.65,8,3,0.375,1026,06-01-2024,Sharjah,Mobile,power bi dashboard course online course,UAE
CPO1045,Power BI Dashboard Course,482,6439,160.87,41,9,0.22,3726,03-07-2024,Chennai,Tablet,power bi dashboard course online course,India
CPO1046,Power BI Dashboard Course,292,4305,220.47,9,1,0.111,171,23-04-2024,Edinburgh,Tablet,power bi dashboard course online course,UK
CPO1047,Power BI Dashboard Course,291,7578,385.83,9,2,0.222,566,24-06-2024,Edinburgh,Mobile,power bi dashboard course online course,UK
CPO1048,Power BI Dashboard Course,160,6467,108.3,10,8,0.8,1768,18-03-2024,Birmingham,Tablet,power bi dashboard course online course,UK
CPO1049,Power BI Dashboard Course,323,2813,209.07,7,7,1,994,25-01-2024,Melbourne,Tablet,power bi dashboard course online course,Australia
CPO1050,Power BI Dashboard Course,308,7112,349.84,18,8,0.444,2232,01-12-2024,Calgary,Desktop,power bi dashboard course online course,Canada
CPO1051,Power BI Dashboard Course,251,8141,170.2,49,31,0.633,13981,12-06-2024,London,Mobile,power bi dashboard course online course,UK
CPO1052,Power BI Dashboard Course,452,2432,357.78,12,3,0.25,720,11-08-2024,Hyderabad,Mobile,power bi dashboard course online course,India
CPO1053,Power BI Dashboard Course,421,5582,197.99,35,5,0.143,500,08-12-2024,Los Angeles,Desktop,power bi dashboard course online course,USA
CPO1054,Power BI Dashboard Course,432,8436,437.13,22,21,0.955,7350,18-02-2024,London,Mobile,power bi dashboard course online course,UK
CPO1055,Power BI Dashboard Course,297,9653,105.03,23,8,0.348,1592,26-10-2024,Brisbane,Tablet,power bi dashboard course online course,Australia
CPO1056,Power BI Dashboard Course,311,8101,185.11,18,3,0.167,1380,22-11-2024,Pune,Desktop,power bi dashboard course online course,India
CPO1057,Power BI Dashboard Course,305,3158,262.99,8,3,0.375,606,28-05-2024,Leeds,Desktop,power bi dashboard course online course,UK
CPO1058,Power BI Dashboard Course,247,8787,361.05,13,2,0.154,894,28-12-2024,Chicago,Tablet,power bi dashboard course online course,USA
CPO1059,Power BI Dashboard Course,146,2923,258.43,38,29,0.763,3509,14-02-2024,Edinburgh,Desktop,power bi dashboard course online course,UK
CPO1060,Power BI Dashboard Course,310,1704,404.44,15,8,0.533,1280,21-03-2024,Brisbane,Tablet,power bi dashboard course online course,Australia
CPO1061,Power BI Dashboard Course,252,7345,172.1,45,18,0.4,6660,28-07-2024,Edinburgh,Desktop,power bi dashboard course online course,UK
CPO1062,Power BI Dashboard Course,181,4108,180.77,28,24,0.857,3744,06-02-2024,Boston,Desktop,power bi dashboard course online course,USA
CPO1063,Power BI Dashboard Course,78,8390,250.94,8,1,0.125,226,09-10-2024,Sydney,Mobile,power bi dashboard course online course,Australia
CPO1064,Power BI Dashboard Course,323,1309,240.02,38,9,0.237,2169,28-06-2024,Montreal,Tablet,power bi dashboard course online course,Canada
CPO1065,Power BI Dashboard Course,181,9714,114.41,18,5,0.278,1905,19-10-2024,Ottawa,Mobile,power bi dashboard course online course,Canada
CPO1066,Power BI Dashboard Course,74,4638,214.39,34,7,0.206,3178,05-08-2024,Sharjah,Mobile,power bi dashboard course online course,UAE
CPO1067,Power BI Dashboard Course,313,1229,146.46,34,8,0.235,3528,22-05-2024,Manchester,Tablet,power bi dashboard course online course,UK
CPO1068,Power BI Dashboard Course,353,2927,401.49,31,17,0.548,3689,20-01-2024,Montreal,Tablet,power bi dashboard course online course,Canada
CPO1069,Power BI Dashboard Course,335,5437,195.39,19,15,0.789,5100,02-09-2024,Montreal,Desktop,power bi dashboard course online course,Canada
CPO1070,Power BI Dashboard Course,371,9130,315.28,16,6,0.375,1716,17-03-2024,Mumbai,Desktop,power bi dashboard course online course,India
CPO1071,Power BI Dashboard Course,420,3441,269.63,36,34,0.944,6290,20-12-2024,Toronto,Tablet,power bi dashboard course online course,Canada
CPO1072,Power BI Dashboard Course,295,6433,407.89,28,19,0.679,7467,01-04-2024,Leeds,Tablet,power bi dashboard course online course,UK
CPO1073,Power BI Dashboard Course,202,3813,472.65,46,8,0.174,928,24-05-2024,Chicago,Tablet,power bi dashboard course online course,USA
CPO1074,Power BI Dashboard Course,203,6567,248.95,26,22,0.846,7326,02-05-2024,Sharjah,Tablet,power bi dashboard course online course,UAE
CPO1075,Power BI Dashboard Course,465,8450,129.42,36,14,0.389,4900,25-02-2024,Los Angeles,Desktop,power bi dashboard course online course,USA
CPO1076,Power BI Dashboard Course,170,6558,440.39,18,14,0.778,2856,21-09-2024,Chennai,Mobile,power bi dashboard course online course,India
CPO1077,Power BI Dashboard Course,187,2016,122.85,26,19,0.731,4978,03-08-2024,New York,Mobile,power bi dashboard course online course,USA
CPO1078,Power BI Dashboard Course,339,5775,477.8,37,16,0.432,7136,27-04-2024,Sydney,Mobile,power bi dashboard course online course,Australia
CPO1079,Power BI Dashboard Course,431,8500,129.48,43,43,1,12083,16-01-2024,Dubai,Mobile,power bi dashboard course online course,UAE
CPO1080,Power BI Dashboard Course,201,1381,380.08,34,19,0.559,2717,10-12-2024,Montreal,Tablet,power bi dashboard course online course,Canada
CPO1081,Power BI Dashboard Course,176,5710,484.46,40,9,0.225,3339,16-08-2024,Montreal,Tablet,power bi dashboard course online course,Canada
CPO1082,Power BI Dashboard Course,118,8901,191.44,17,8,0.471,1504,28-05-2024,Leeds,Mobile,power bi dashboard course online course,UK
CPO1083,Power BI Dashboard Course,89,1956,212.81,22,12,0.545,2844,07-11-2024,Sharjah,Mobile,power bi dashboard course online course,UAE
CPO1084,Power BI Dashboard Course,500,2939,193.36,20,10,0.5,4940,23-12-2024,Calgary,Mobile,power bi dashboard course online course,Canada
CPO1085,Power BI Dashboard Course,165,8504,259.76,20,15,0.75,3795,28-04-2024,Sharjah,Tablet,power bi dashboard course online course,UAE
CPO1086,Power BI Dashboard Course,73,5470,135.51,37,33,0.892,12012,10-09-2024,Boston,Desktop,power bi dashboard course online course,USA
CPO1087,Power BI Dashboard Course,271,1826,247.53,37,30,0.811,6330,07-05-2024,San Francisco,Tablet,power bi dashboard course online course,USA
CPO1088,Power BI Dashboard Course,162,5594,152.37,40,8,0.2,3152,25-04-2024,Los Angeles,Mobile,power bi dashboard course online course,USA
CPO1089,Power BI Dashboard Course,392,4432,332.49,23,12,0.522,1356,21-02-2024,Sydney,Desktop,power bi dashboard course online course,Australia
CPO1090,Power BI Dashboard Course,164,1923,412.06,36,9,0.25,2142,25-01-2024,Mumbai,Tablet,power bi dashboard course online course,India
CPO1091,Power BI Dashboard Course,476,4497,197.4,30,6,0.2,1194,28-02-2024,Delhi,Mobile,power bi dashboard course online course,India
CPO1092,Power BI Dashboard Course,175,5609,165.06,45,34,0.756,12988,11-01-2024,Montreal,Mobile,power bi dashboard course online course,Canada
CPO1093,Power BI Dashboard Course,368,9509,324.58,14,11,0.786,5357,17-07-2024,Toronto,Tablet,power bi dashboard course online course,Canada
CPO1094,Power BI Dashboard Course,201,3533,183.86,44,21,0.477,4158,18-08-2024,Mumbai,Tablet,power bi dashboard course online course,India
CPO1095,Power BI Dashboard Course,84,3982,392.69,6,5,0.833,2085,17-04-2024,Manchester,Mobile,power bi dashboard course online course,UK
CPO1096,Power BI Dashboard Course,288,5345,247.93,6,2,0.333,262,03-09-2024,Edinburgh,Mobile,power bi dashboard course online course,UK
CPO1097,Power BI Dashboard Course,236,6336,450.15,47,36,0.766,15372,25-11-2024,Brisbane,Mobile,power bi dashboard course online course,Australia
CPO1098,Power BI Dashboard Course,414,4447,294.4,18,17,0.944,1955,21-12-2024,Calgary,Mobile,power bi dashboard course online course,Canada
CPO1099,Power BI Dashboard Course,178,8595,202.7,25,15,0.6,4950,24-09-2024,Chicago,Tablet,power bi dashboard course online course,USA
CPO1100,Power BI Dashboard Course,432,8053,198.68,13,5,0.385,1305,15-06-2024,Boston,Mobile,power bi dashboard course online course,USA
CPO1101,Power BI Dashboard Course,360,8994,110.72,43,33,0.767,14982,06-11-2024,Manchester,Desktop,power bi dashboard course online course,UK
